,Fold,Loss,Accuracy,AUC
0,0,0.6175440537686251,0.795918345451355,0.8095238095238096
1,1,0.6292387247085571,0.6734693646430969,0.67003367003367
2,2,0.6175396016665867,0.795918345451355,0.7933333333333333
3,3,0.6215650889338279,0.7346938848495483,0.7474916387959867
4,4,0.6557031736081961,0.5714285969734192,0.6496212121212122
5,5,0.6427021659150416,0.6734693646430969,0.6784511784511785
6,6,0.6198284370558602,0.7551020383834839,0.7558333333333332
7,7,0.6442911564087381,0.6326530575752258,0.6287625418060201
8,8,0.6263935764630636,0.75,0.7547826086956522
9,9,0.6082221269607544,0.7916666865348816,0.7878260869565217
10,All folds,None,0.7174319684505462,0.7275659413050717
