,Fold,Loss,Accuracy,AUC
0,0,1.958755838627718,0.7755101919174194,0.7976190476190476
1,1,2.4625736353348713,0.7142857313156128,0.7281144781144782
2,2,1.6219487774128816,0.7755101919174194,0.7766666666666666
3,3,0.6543764040178183,0.8979591727256775,0.8938127090301005
4,4,1.20777470481639,0.8367347121238708,0.8304924242424242
5,5,2.3126162704156368,0.7142857313156128,0.7323232323232324
6,6,1.4327154402830162,0.8571428656578064,0.8541666666666667
7,7,1.8471541307410415,0.8163265585899353,0.8269230769230769
8,8,1.7575480937957764,0.8333333134651184,0.8260869565217391
9,9,1.4999976952870686,0.8125,0.8200000000000001
10,All folds,None,0.8033588469028473,0.8086205258107432
