,Fold,Loss,Accuracy,AUC
0,0,0.36636931069043216,0.8367347121238708,0.8511904761904762
1,1,0.4730385037101045,0.7346938848495483,0.7508417508417508
2,2,0.3431608315025057,0.8775510191917419,0.8783333333333333
3,3,0.3049764754820843,0.918367326259613,0.9205685618729097
4,4,0.4719194502246623,0.7346938848495483,0.7386363636363636
5,5,0.504372099224402,0.7551020383834839,0.7777777777777778
6,6,0.35006696958931127,0.8571428656578064,0.855
7,7,0.4522795762334551,0.795918345451355,0.8051839464882944
8,8,0.34466904401779175,0.9166666865348816,0.9147826086956521
9,9,0.33285186688105267,0.8541666865348816,0.8565217391304348
10,All folds,None,0.8281037449836731,0.8348836557966992
