,Fold,Loss,Accuracy,AUC
0,0,1.228819693837847,0.8163265585899353,0.8214285714285714
1,1,1.3462391629510997,0.6938775777816772,0.7011784511784512
2,2,0.8123619684151241,0.8571428656578064,0.8558333333333332
3,3,0.28392683121622825,0.8979591727256775,0.9038461538461539
4,4,1.4313058512551444,0.7346938848495483,0.7547348484848486
5,5,1.641373415382541,0.6326530575752258,0.6456228956228957
6,6,0.9955392552881824,0.795918345451355,0.7925
7,7,0.8513872355830913,0.7551020383834839,0.7617056856187291
8,8,0.5729173620541891,0.875,0.8730434782608696
9,9,0.6991144021352133,0.7916666865348816,0.7965217391304349
10,All folds,None,0.7850340187549592,0.7906415156904287
