,sequence_names,true_vals,pred_vals,Fold
0,>CHR9:19793156-19793356,-0.359230626058147,-0.19957156,0
1,>CHR1:1127175-1127375,-0.23751371784949,-0.20649512,0
2,>CHR10:66555776-66555976,-0.558811259433325,-0.2777617,0
3,>CHR5:101279566-101279766,0.294197508263848,0.14695424,0
4,>CHR16:20054175-20054375,0.398126342337322,-0.45289403,0
5,>CHR3:133618246-133618446,0.101237196592089,-0.057428308,0
6,>CHR7:68357296-68357496,-0.0850230511100788,-0.42358422,0
7,>CHR7:30291635-30291835,-0.118351391926253,-0.38565978,0
8,>CHR17:45630776-45630976,0.239079025418635,-0.2119665,0
9,>CHRX:86957716-86957916,-0.180790477905627,0.1212452,0
10,>CHR6:36518515-36518715,-0.226584588435473,-0.3129786,0
11,>CHR4:70790116-70790316,0.207505300377451,-0.2933127,0
12,>CHR17:21431016-21431216,0.290706083432265,-0.033246227,0
13,>CHR20:52415655-52415855,-0.424924436792957,-0.114594124,0
14,>CHR5:159428020-159428220,-0.55717666900918,-0.39881873,0
15,>CHR12:70548955-70549155,0.0224391144185581,-0.5159675,0
16,>CHR2:186815336-186815536,-0.167068352612288,-0.35884264,0
17,>CHR11:110292455-110292655,-0.205953659077054,-0.32211906,0
18,>CHR19:45238276-45238476,-0.000494256831544272,-0.18310238,0
19,>CHR1:200799605-200799805,-0.0375311830244584,-0.16350473,0
20,>CHR11:18617016-18617216,0.267216794469804,-0.020410607,0
21,>CHR12:127685466-127685666,-0.256020700559324,-0.2993591,0
22,>CHR12:98704816-98705016,0.581341626299475,-0.070996486,0
23,>CHR8:10709235-10709435,0.351538217663212,0.043446593,0
24,>CHR9:125404596-125404796,-0.81445971174952,-0.3000221,0
25,>CHR8:81080805-81081005,0.0845589992715876,-0.5178342,0
26,>CHR11:85336295-85336495,-0.505915268541799,-0.27431786,0
27,>CHR6:140977016-140977216,-0.167520783288368,-0.18007205,0
28,>CHR9:137764615-137764815,-0.329333996439249,0.0691049,0
29,>CHR19:352035-352235,-0.240950209695245,-0.29879016,0
30,>CHR2:86898826-86899026,1.23898655667085,-0.056765743,0
31,>CHR12:19581236-19581436,-0.0452878427774699,-0.318329,0
32,>CHR15:22681935-22682135,-0.0619691453474704,-0.25768372,0
33,>CHRX:99979625-99979825,-0.0155441393336681,-0.27578646,0
34,>CHR18:11757860-11758060,1.33279748874795,0.107631855,0
35,>CHR10:21527936-21528136,0.0440873438360197,-0.55929124,0
36,>CHR5:2011695-2011895,0.555455938108718,0.06586031,0
37,>CHR7:134157315-134157515,-0.0869688959677976,-0.13608378,0
38,>CHR1:67979496-67979696,0.11855584037297,0.19199735,0
39,>CHR19:35908215-35908415,0.364469581442238,0.19220322,0
40,>CHR7:135977135-135977335,-0.171001828615755,-0.46395826,0
41,>CHR8:109212696-109212896,-0.5425191552598,-0.32167426,0
42,>CHR12:19135696-19135896,-0.373411242971182,-0.22112381,0
43,>CHR6:106677946-106678146,-0.571012596644492,-0.36082456,0
44,>CHR6:20729386-20729586,-0.182147142700454,-0.22275345,0
45,>CHR7:64610335-64610535,-0.00420406132847806,-0.14624332,0
46,>CHR21:26087496-26087696,-0.39714166180657,-0.1371595,0
47,>CHR2:78544856-78545056,-0.388707923132091,-0.1645954,0
48,>CHR17:56282166-56282366,0.0352202309392287,-0.025436888,0
49,>CHR8:6192395-6192595,0.272069651002944,0.18299323,0
50,>CHR19:28913035-28913235,0.211787125788016,-0.23061363,0
51,>CHR10:135463175-135463375,-0.473697242038489,-0.25391293,0
52,>CHR8:124541715-124541915,-0.878220579563524,-0.3018529,0
53,>CHR7:155717096-155717296,0.0807701008487095,-0.29797915,0
54,>CHR2:236179695-236179895,0.726225285401485,-0.24222733,0
55,>CHR3:183562456-183562656,0.343454408260544,-0.19948007,0
56,>CHR6:157044735-157044935,0.168067309295598,-0.025119448,0
57,>CHR3:177170255-177170455,-0.246033105576773,-0.2999996,0
58,>CHR6:52826836-52827036,-0.208123959506826,-0.09013561,0
59,>CHR15:31178096-31178296,-0.647702494514023,-0.6380743,0
60,>CHR1:54469175-54469375,0.246066697384921,0.11464734,0
61,>CHR8:88983956-88984156,0.737866752155768,0.16696827,0
62,>CHR8:68971555-68971755,-0.37793491875198,-0.25385448,0
63,>CHR6:106137376-106137576,0.440955655210415,0.13286489,0
64,>CHR1:180957645-180957845,-0.147681832435538,-0.20651235,0
65,>CHR3:137879626-137879826,0.917660008804425,0.23619942,0
66,>CHR17:4582920-4583120,-0.128582473573951,0.056475066,0
67,>CHR12:69127465-69127665,0.642023101804925,-0.24120627,0
68,>CHR9:86059095-86059295,-0.0719920945873847,-0.42009583,0
69,>CHR3:33740915-33741115,-0.547620145531645,-0.46093667,0
70,>CHR1:40302575-40302775,-1.35188484605236,0.1443441,0
71,>CHR19:58153376-58153576,-0.542593229882102,-0.24713208,0
72,>CHR19:1547506-1547706,-0.272674220251754,-0.07697073,0
73,>CHR2:171472615-171472815,-0.359923082241977,-0.114108,0
74,>CHR17:57070858-57071058,-0.291162155858559,0.21582651,0
75,>CHR21:48095896-48096096,-0.285891763188798,-0.2997248,0
76,>CHR6:90235555-90235755,0.749687967774631,-0.19499202,0
77,>CHR4:70305736-70305936,0.222389605357707,0.3107552,0
78,>CHR16:27467035-27467235,0.234571937502544,0.08560865,0
79,>CHR7:3174366-3174566,0.72614972590136,0.013276478,0
80,>CHR12:106768916-106769116,-0.00379945145713761,-0.24470608,0
81,>CHR11:43780576-43780776,-0.808532286684298,-0.32796812,0
82,>CHR11:97331236-97331436,-0.0530488786382145,-0.13264422,0
83,>CHR20:13326876-13327076,0.489847441585438,-0.06272174,0
84,>CHR11:114433876-114434076,1.47209482505033,-0.06122703,0
85,>CHR20:33516176-33516376,0.0549944937804438,-0.50585634,0
86,>CHR1:187235296-187235496,0.053812716433796,-0.07584933,0
87,>CHR1:54207755-54207955,0.110328899495471,-0.30475488,0
88,>CHR17:3614355-3614555,-0.0468983954862969,-0.25154573,0
89,>CHR2:182808935-182809135,-0.304401573647621,-0.42504656,0
90,>CHR13:112723480-112723680,-0.0563452648307458,-0.16883501,0
91,>CHR6:7281975-7282175,-0.31534128480815,-0.017285818,0
92,>CHR20:52350655-52350855,-0.208771399186912,-0.11206279,0
93,>CHR17:525716-525916,0.113614387150743,-0.37333477,0
94,>CHR16:33404440-33404640,-0.33738998629482,-0.19773792,0
95,>CHR5:88783856-88784056,-0.515371807157829,-0.5275986,0
96,>CHR2:26603135-26603335,-0.0280751795049096,-0.43966222,0
97,>CHR20:37521245-37521445,-0.375322670331714,-0.30612606,0
98,>CHR4:97362066-97362266,0.192240522662824,-0.12884076,0
99,>CHR1:36584455-36584655,0.127886352624615,-0.12022292,0
100,>CHR18:48426116-48426316,-0.495929513230981,-0.27194244,0
